Identification Brand,Identification Model,Identification Year,Identification Variant,Identification Body Type,Identification Seating Capacity,Identification Segment,Pricing Delhi Ex Showroom Price,Pricing Delhi Resale Value,Engine Cc,Engine Type,Engine Turbo,Engine Bhp,Engine Torque,Engine Transmission,Engine Gears,Engine Drive,Engine 0 100 Sec,Efficiency Fuel Type,Efficiency Mileage Arai,Efficiency Mileage City,Efficiency Mileage Highway,Dimensions Length,Dimensions Width,Dimensions Height,Dimensions Wheelbase,Dimensions Ground Clearance,Dimensions Weight Kg,Dimensions Boot Liters,Ev Data Is Ev,Ev Data Battery Kwh,Ev Data Range Km,Ev Data Charging Ac Hours,Ev Data Charging Dc Min,Safety Ncap Stars,Safety Airbags,Safety Abs,Safety Esp,Safety Hill Hold,Safety Isofix,Safety Tpms,Safety Adas Level 2,Warranty Years,Warranty Km,Warranty Service Km
Maruti Suzuki,Alto K10,2025,Std (O),Hatchback,5,Mini,410000,Excellent,998,Petrol,FALSE,66,89,Manual,5,FWD,15.5,Petrol,24.9,18,22,3530,1490,1520,2380,160,735,177,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Alto K10,2025,LXi,Hatchback,5,A-Segment,495000,Excellent,998,Petrol,FALSE,66,89,Manual,5,FWD,14.5,Petrol,24.9,19,22,3530,1490,1520,2380,160,735,177,FALSE,0,0,0,0,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Alto K10,2025,VXi,Hatchback,5,A-Segment,535000,Excellent,998,Petrol,FALSE,66,89,Manual,5,FWD,15.5,Petrol,24.9,18,22,3530,1490,1520,2380,167,750,177,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Alto K10,2025,VXi Plus,Hatchback,5,A-Segment,560000,Excellent,998,Petrol,FALSE,66,89,Manual,5,FWD,14.5,Petrol,24.9,19.5,23,3530,1490,1520,2380,167,740,214,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Alto K10,2025,VXi AGS,Hatchback,5,Entry-Level Hatchback,570000,Excellent,998,Petrol,FALSE,66,89,AMT,5,FWD,14.5,Petrol,24.9,18,22,3530,1490,1520,2380,160,765,177,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Alto K10,2025,LXi CNG,Hatchback,5,A-Segment,580000,Strong,998,Petrol/CNG,FALSE,56,82,Manual,5,FWD,18,CNG,33.85,28,30,3530,1490,1520,2380,160,810,80,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Alto K10,2025,VXi CNG,Hatchback,5,A-Segment,620000,Strong,998,Petrol/CNG,FALSE,56,82,Manual,5,FWD,18,CNG,34,28,30,3530,1490,1520,2380,160,800,150,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,2025,Std,Hatchback,5,A-Segment,435000,Excellent,998,Petrol,FALSE,67,89,Manual,5,FWD,15.5,Petrol,24.76,18,21,3565,1520,1567,2380,180,736,240,FALSE,0,0,0,0,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,2025,LXi,Micro SUV,5,Entry-Level Compact,515000,Strong,998,Petrol,FALSE,66,89,Manual,5,FWD,15.5,Petrol,25.3,18,22,3565,1520,1567,2380,180,770,240,FALSE,0,0,0,0,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,2025,VXi,Hatchback,5,A-Segment,530000,Strong,998,Petrol,FALSE,66,89,Manual,5,FWD,15,Petrol,25.3,18,22,3565,1520,1567,2380,185,770,240,FALSE,0,0,0,0,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,2025,VXi Plus,Hatchback,5,A-Segment,585000,Excellent,998,Petrol,FALSE,66,89,Manual,5,FWD,15.5,Petrol,24.76,18,21,3565,1520,1567,2380,180,763,240,FALSE,0,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,2025,VXi (O) AGS,Hatchback,5,Entry-Level Hatchback,610000,Excellent,998,Petrol,FALSE,65,89,AMT,5,FWD,15.5,Petrol,25.3,20,22.5,3565,1520,1567,2380,180,770,270,FALSE,0,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,2025,VXi Plus AGS,Micro SUV,5,Entry-Level Hatchback,610000,Strong,998,Petrol,FALSE,66,89,AMT,5,FWD,14.5,Petrol,25.3,19.5,22,3565,1520,1567,2380,180,800,240,FALSE,0,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,2025,LXi CNG,Hatchback,5,Entry-Level,635000,Excellent,998,Petrol/CNG,FALSE,56,82,Manual,5,FWD,17.5,CNG,32.73,28,30,3565,1520,1567,2380,180,920,175,FALSE,0,0,0,0,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,2025,VXi CNG,Hatchback,5,Entry-Level Hatchback,645000,Excellent,998,Petrol/CNG,FALSE,56,82,Manual,5,FWD,18,CNG,32.73,28,31,3565,1520,1567,2380,185,900,50,FALSE,0,0,0,0,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Celerio,2025,LXi,Hatchback,5,A-Segment,560000,Excellent,998,Petrol,FALSE,66,89,Manual,5,FWD,15.5,Petrol,25.24,19,22,3695,1655,1555,2435,170,800,313,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
